session_id,event_seq,event_type,client_timestamp_ms,client_iso_time,client_local_time,server_received_at,value_x,value_y,value_z,alpha,beta,gamma,heading_deg,battery_level,is_charging,is_screen_visible,sample_source,user_agent
gps-20260317-053154-eb1l,1,battery_status,1773725513799,2026-03-17T05:31:53.799Z,"17.03.2026, 10:31:53",2026-03-17T05:31:54Z,,,,,,,,81,False,True,battery,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-053154-eb1l,2,accelerometer,1773725514060,2026-03-17T05:31:54.060Z,"17.03.2026, 10:31:54",2026-03-17T05:31:54Z,-2.4000000000000004,8.4,2.0,,,,,81,False,True,devicemotion_acceleration,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-053154-eb1l,2,orientation,1773725514065,2026-03-17T05:31:54.065Z,"17.03.2026, 10:31:54",2026-03-17T05:31:54Z,,,,64.3,60.2,29.200000000000003,,81,False,True,deviceorientation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-053154-eb1l,3,gyroscope,1773725514072,2026-03-17T05:31:54.072Z,"17.03.2026, 10:31:54",2026-03-17T05:31:54Z,-6.4,-14.700000000000001,-1.1,,,,,81,False,True,devicemotion_rotation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-053154-eb1l,4,visibility_change,1773725514088,2026-03-17T05:31:54.088Z,"17.03.2026, 10:31:54",2026-03-17T05:31:54Z,,,,,,,,81,False,True,visibilitychange,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-053154-eb1l,5,gyroscope,1773725514291,2026-03-17T05:31:54.291Z,"17.03.2026, 10:31:54",2026-03-17T05:31:54Z,-13.700000000000001,-9.2,5.2,,,,,81,False,True,devicemotion_rotation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-053154-eb1l,6,accelerometer,1773725514274,2026-03-17T05:31:54.274Z,"17.03.2026, 10:31:54",2026-03-17T05:31:54Z,-2.3000000000000003,8.6,3.6,,,,,81,False,True,devicemotion_acceleration,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-053154-eb1l,7,orientation,1773725514281,2026-03-17T05:31:54.281Z,"17.03.2026, 10:31:54",2026-03-17T05:31:54Z,,,,64.60000000000001,60.6,27.8,,81,False,True,deviceorientation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-053154-eb1l,8,orientation,1773725514497,2026-03-17T05:31:54.497Z,"17.03.2026, 10:31:54",2026-03-17T05:31:55Z,,,,67.5,58.6,23.0,,81,False,True,deviceorientation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-053154-eb1l,8,accelerometer,1773725514488,2026-03-17T05:31:54.488Z,"17.03.2026, 10:31:54",2026-03-17T05:31:55Z,-1.9000000000000001,8.4,4.9,,,,,81,False,True,devicemotion_acceleration,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
