session_id,event_seq,event_type,client_timestamp_ms,client_iso_time,client_local_time,server_received_at,value_x,value_y,value_z,alpha,beta,gamma,heading_deg,battery_level,is_charging,is_screen_visible,sample_source,user_agent
gps-20260317-071032-0543,1,battery_status,1773731432127,2026-03-17T07:10:32.127Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,,,,,,,,94,True,True,battery,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,2,orientation,1773731432303,2026-03-17T07:10:32.303Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,,,,0.0,0.0,0.0,,94,True,True,deviceorientation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,3,accelerometer,1773731432312,2026-03-17T07:10:32.312Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,0.4,8.5,5.1000000000000005,,,,,94,True,True,devicemotion_acceleration,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,4,gyroscope,1773731432318,2026-03-17T07:10:32.318Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,0.2,-1.1,-0.4,,,,,94,True,True,devicemotion_rotation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,5,visibility_change,1773731432331,2026-03-17T07:10:32.331Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,,,,,,,,94,True,True,visibilitychange,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,6,orientation,1773731432502,2026-03-17T07:10:32.502Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,,,,88.30000000000001,59.6,1.9000000000000001,,94,True,True,deviceorientation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,7,accelerometer,1773731432519,2026-03-17T07:10:32.519Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,-0.2,8.6,5.4,,,,,94,True,True,devicemotion_acceleration,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,8,gyroscope,1773731432535,2026-03-17T07:10:32.535Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,-2.1,-0.2,-0.1,,,,,94,True,True,devicemotion_rotation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,9,accelerometer,1773731432719,2026-03-17T07:10:32.719Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,-0.2,8.700000000000001,5.2,,,,,94,True,True,devicemotion_acceleration,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,10,gyroscope,1773731432735,2026-03-17T07:10:32.735Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,0.0,-0.30000000000000004,0.2,,,,,94,True,True,devicemotion_rotation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,11,orientation,1773731432752,2026-03-17T07:10:32.752Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,,,,87.9,59.300000000000004,2.4000000000000004,,94,True,True,deviceorientation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,12,accelerometer,1773731432921,2026-03-17T07:10:32.921Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,-0.30000000000000004,8.4,5.1000000000000005,,,,,94,True,True,devicemotion_acceleration,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,13,gyroscope,1773731432962,2026-03-17T07:10:32.962Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,-0.1,-0.30000000000000004,-0.1,,,,,94,True,True,devicemotion_rotation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,14,orientation,1773731432960,2026-03-17T07:10:32.960Z,"17.03.2026, 12:10:32",2026-03-17T07:10:33Z,,,,87.7,59.2,2.6,,94,True,True,deviceorientation,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
gps-20260317-071032-0543,15,accelerometer,1773731433140,2026-03-17T07:10:33.140Z,"17.03.2026, 12:10:33",2026-03-17T07:10:34Z,-0.1,8.4,5.0,,,,,94,True,True,devicemotion_acceleration,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36"
